system:time_start,constant_max,constant_mean,constant_min
"Jun 8, 2019",95.294,0.253,-116.375
"Jun 9, 2019",1.525,0.159,-0.018
"Jun 14, 2019",,,
"Jun 16, 2019",43.598,0.459,-10.411
"Jun 18, 2019",846.875,0.403,-227.037
"Jun 21, 2019",1.071,0.367,-0.02
"Jun 23, 2019",,,
"Jun 24, 2019",3.552,0.379,-0.033
"Jun 28, 2019",0.968,0.363,-0.009
"Jul 1, 2019",36.236,0.509,-37.368
"Jul 3, 2019",0.943,0.339,-0.012
"Jul 4, 2019",0.945,0.345,-0.018
"Jul 8, 2019",1.237,0.346,0.104
"Jul 9, 2019",,,
"Jul 11, 2019",0.927,0.336,-0.011
"Jul 13, 2019",0.951,0.341,-0.013
"Jul 14, 2019",,,
"Jul 16, 2019",1.057,0.383,-0.046
"Jul 18, 2019",1.315,0.245,-0.01
"Jul 19, 2019",0.883,0.31,-0.009
"Jul 21, 2019",0.909,0.325,-0.021
"Jul 23, 2019",,,
"Jul 24, 2019",0.886,0.31,-0.016
"Jul 26, 2019",0.869,0.315,0.004
"Jul 28, 2019",0.952,0.337,-0.021
"Jul 29, 2019",0.989,0.41,0.011
"Jul 31, 2019",0.711,0.303,0.02
"Aug 3, 2019",1.026,0.298,0.095
"Aug 5, 2019",1.034,0.344,-0.031
"Aug 7, 2019",0.884,0.342,0.008
"Aug 10, 2019",,,
"Aug 13, 2019",2.043,0.255,0.003
"Aug 20, 2019",0.767,0.245,-0.024
"Aug 22, 2019",0.905,0.324,-0.007
"Aug 27, 2019",0.907,0.319,-0.015
"Aug 28, 2019",0.883,0.289,-0.014
"Aug 30, 2019",0.391,0.329,0.268
"Sep 4, 2019",0.867,0.296,-0.009
"Sep 6, 2019",0.904,0.322,-0.012
"Sep 9, 2019",0.93,0.31,-0.01
"Sep 11, 2019",2.745,0.19,-0.037
"Sep 12, 2019",3.288,0.446,-0.086
"Sep 14, 2019",,,
"Sep 19, 2019",0.826,0.291,-0.006
"Sep 22, 2019",0.806,0.291,-0.01
"Sep 26, 2019",0.835,0.298,-0.029
"Sep 27, 2019",0.733,0.26,-0.02
"Oct 4, 2019",0.274,0.146,0.019
"Oct 9, 2019",0.526,0.236,-0.018
"Oct 11, 2019",0.24,0.154,0.053
"Oct 14, 2019",0.562,0.239,-0.06
"Oct 22, 2019",0.459,0.159,-0.028
"Oct 27, 2019",0.23,0.111,0.039
"Oct 29, 2019",0.282,0.119,0.024
"Nov 3, 2019",13.684,0.292,-5.068
"Nov 5, 2019",21,0.312,-36.607
"Nov 10, 2019",,,
"Nov 15, 2019",90.833,0.368,-12.778
"Jan 24, 2020",,,
"Feb 3, 2020",55,0.31,-80.714
"Feb 4, 2020",200,0.302,-45.25
"Feb 6, 2020",40,0.267,-224
"Feb 8, 2020",545,0.388,-130
"Feb 13, 2020",73.889,0.267,-62
"Feb 13, 2020",600,0.346,-93.571
"Feb 14, 2020",15.294,0.224,-123.333
"Feb 18, 2020",,,
"Feb 19, 2020",,,
"Feb 24, 2020",62.143,0.199,-105
"Feb 26, 2020",121.667,0.197,-254.167
"Feb 28, 2020",76.875,0.184,-90
"Feb 29, 2020",,,
"Mar 7, 2020",3.946,0.276,-4.068
"Mar 9, 2020",,,
"Mar 10, 2020",6.034,0.168,-217.5
"Mar 12, 2020",,,
"Mar 14, 2020",9,0.229,-230
"Mar 19, 2020",68.437,-0.047,-315
"Mar 20, 2020",4.483,0.249,-0.234
"Mar 27, 2020",,,
"Mar 29, 2020","2,170",0.333,-478.75
"Mar 30, 2020",1.274,0.209,-0.666
"Apr 1, 2020",0.35,0.137,0.011
"Apr 4, 2020",4.387,0.175,-13.163
"Apr 6, 2020",,,
"Apr 8, 2020",39.943,0.071,-49.821
"Apr 9, 2020","537,054,255,563,931.576","68,721,850,607.39","-2,390"
"Apr 11, 2020",1.613,0.083,-10
"Apr 16, 2020",423.529,-0.172,"-1,077.143"
"Apr 18, 2020",526.25,-0.246,"-2,325"
"Apr 19, 2020",166.389,0.061,-65.714
"Apr 21, 2020","1,377.143",-0.595,"-3,013.333"
"Apr 24, 2020",,,
"Apr 26, 2020",0.941,0.178,-0.149
"Apr 29, 2020",3.029,0.175,-2.181
"May 1, 2020",,,
"May 3, 2020",13.176,0.223,-7.143
"May 4, 2020",1.025,0.236,-0.203
"May 6, 2020",0.629,0.234,-1.874
"May 9, 2020",0.435,0.236,-0.114
